param,method,method descriptor,class
token,buildUnexpectedTypeError,(java.lang.reflect.Type;java.lang.Class;) ret java.lang.AssertionError,TypeToken
expected,buildUnexpectedTypeError,(java.lang.reflect.Type;java.lang.Class;) ret java.lang.AssertionError,TypeToken
from,matches,(java.lang.reflect.Type;java.lang.reflect.Type;java.util.Map;) ret boolean,TypeToken
to,matches,(java.lang.reflect.Type;java.lang.reflect.Type;java.util.Map;) ret boolean,TypeToken
typeMap,matches,(java.lang.reflect.Type;java.lang.reflect.Type;java.util.Map;) ret boolean,TypeToken
o,equals,(java.lang.Object;) ret boolean,TypeToken
type,get,(java.lang.reflect.Type;) ret com.google.gson.reflect.TypeToken,TypeToken
type,get,(java.lang.Class;) ret com.google.gson.reflect.TypeToken,TypeToken
rawType,getParameterized,(java.lang.reflect.Type;java.lang.reflect.Type;) ret com.google.gson.reflect.TypeToken,TypeToken
typeArguments,getParameterized,(java.lang.reflect.Type;java.lang.reflect.Type;) ret com.google.gson.reflect.TypeToken,TypeToken
componentType,getArray,(java.lang.reflect.Type;) ret com.google.gson.reflect.TypeToken,TypeToken
rawClass,check,(java.lang.Class;) ret com.google.gson.ReflectionAccessFilter.FilterResult,ReflectionAccessFilter
in,<init>$1,(java.io.Reader;),JsonReader
lenient,setLenient,(boolean;) ret void,JsonReader
c,isLiteral,(char;) ret boolean,JsonReader
quote,nextQuotedValue,(char;) ret java.lang.String,JsonReader
quote,skipQuotedValue,(char;) ret void,JsonReader
newTop,push,(int;) ret void,JsonReader
minimum,fillBuffer,(int;) ret boolean,JsonReader
throwOnEof,nextNonWhitespace,(boolean;) ret int,JsonReader
toFind,skipTo,(java.lang.String;) ret boolean,JsonReader
usePreviousPath,getPath,(boolean;) ret java.lang.String,JsonReader
message,syntaxError,(java.lang.String;) ret java.io.IOException,JsonReader
out,<init>$1,(java.io.Writer;),JsonWriter
indent,setIndent,(java.lang.String;) ret void,JsonWriter
lenient,setLenient,(boolean;) ret void,JsonWriter
htmlSafe,setHtmlSafe,(boolean;) ret void,JsonWriter
serializeNulls,setSerializeNulls,(boolean;) ret void,JsonWriter
empty,open,(int;char;) ret com.google.gson.stream.JsonWriter,JsonWriter
openBracket,open,(int;char;) ret com.google.gson.stream.JsonWriter,JsonWriter
empty,close,(int;int;char;) ret com.google.gson.stream.JsonWriter,JsonWriter
nonempty,close,(int;int;char;) ret com.google.gson.stream.JsonWriter,JsonWriter
closeBracket,close,(int;int;char;) ret com.google.gson.stream.JsonWriter,JsonWriter
newTop,push,(int;) ret void,JsonWriter
topOfStack,replaceTop,(int;) ret void,JsonWriter
name,name,(java.lang.String;) ret com.google.gson.stream.JsonWriter,JsonWriter
value,value,(java.lang.String;) ret com.google.gson.stream.JsonWriter,JsonWriter
value,jsonValue,(java.lang.String;) ret com.google.gson.stream.JsonWriter,JsonWriter
value,value,(boolean;) ret com.google.gson.stream.JsonWriter,JsonWriter
value,value,(java.lang.Boolean;) ret com.google.gson.stream.JsonWriter,JsonWriter
value,value,(float;) ret com.google.gson.stream.JsonWriter,JsonWriter
value,value,(double;) ret com.google.gson.stream.JsonWriter,JsonWriter
value,value,(long;) ret com.google.gson.stream.JsonWriter,JsonWriter
c,isTrustedNumberType,(java.lang.Class;) ret boolean,JsonWriter
value,value,(java.lang.Number;) ret com.google.gson.stream.JsonWriter,JsonWriter
value,string,(java.lang.String;) ret void,JsonWriter
msg,<init>$1,(java.lang.String;),MalformedJsonException
msg,<init>$2,(java.lang.String;java.lang.Throwable;),MalformedJsonException
throwable,<init>$2,(java.lang.String;java.lang.Throwable;),MalformedJsonException
throwable,<init>$3,(java.lang.Throwable;),MalformedJsonException
in,readNumber,(com.google.gson.stream.JsonReader;) ret java.lang.Number,ToNumberStrategy
out,write,(com.google.gson.stream.JsonWriter;T;) ret void,TypeAdapter
value,write,(com.google.gson.stream.JsonWriter;T;) ret void,TypeAdapter
out,toJson,(java.io.Writer;T;) ret void,TypeAdapter
value,toJson,(java.io.Writer;T;) ret void,TypeAdapter
value,toJson,(T;) ret java.lang.String,TypeAdapter
value,toJsonTree,(T;) ret com.google.gson.JsonElement,TypeAdapter
in,read,(com.google.gson.stream.JsonReader;) ret T,TypeAdapter
in,fromJson,(java.io.Reader;) ret T,TypeAdapter
json,fromJson,(java.lang.String;) ret T,TypeAdapter
jsonTree,fromJsonTree,(com.google.gson.JsonElement;) ret T,TypeAdapter
gson,create,(com.google.gson.Gson;com.google.gson.reflect.TypeToken;) ret com.google.gson.TypeAdapter,TypeAdapterFactory
type,create,(com.google.gson.Gson;com.google.gson.reflect.TypeToken;) ret com.google.gson.TypeAdapter,TypeAdapterFactory
